id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1341,2,0,Amst. Nebula #2,NA,NA,NA,Hybrid,NA,California Alternative...,NA,NA,NA,"Venice, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,2,0,West Side OG,NA,NA,NA,Indica,NA,B1 Productions,NA,NA,NA,"Gardena, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,2,0,West Side Bubba,NA,NA,NA,Indica,NA,B1 Productions,NA,NA,NA,"Gardena, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,2,0,Rugburn,NA,NA,NA,Indica,NA,Holistic Healing Collective,NA,NA,NA,"Richmond, CA",NA,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,2,0,Bay Platinum Cookies,NA,NA,NA,Hybrid,NA,Grand Daddy Purp,NA,NA,NA,"Richmond, CA",NA,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,2,0,Bay Dream,NA,NA,NA,Hybrid,NA,Grand Daddy Purp,"Happy, Euphoric, Hungry, Uplifted, Focused, Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Pain",Citrus,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,2,0,Bay 11 Hydro,NA,NA,NA,Sativa,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1348,2,0,Bay 11 Organic,NA,NA,NA,Sativa,NA,Grandaddypurp Collective,NA,NA,NA,"Richmond, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,2,0,The Dream,NA,NA,NA,Hybrid,NA,GreenLeaf Healing Collective,NA,NA,NA,"Sherman Oaks, CA",NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,2,0,BMW,NA,NA,NA,Hybrid,NA,Greenway Patient Association,NA,NA,NA,"Torrance, CA",NA,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,2,0,Pine Berry,NA,NA,NA,"NA",NA,Canopy Cafe & Delivery,NA,NA,NA,"Toluca Lake, CA",NA,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352,2,0,Purple Bubba Kush,NA,NA,NA,Hybrid,NA,Unknown Breeder,NA,NA,NA,"Toluca Lake, CA",NA,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1353,2,0,Orange Diesel,NA,NA,NA,Hybrid,NA,Canopy Cafe & Delivery,NA,NA,NA,"Toluca Lake, CA",NA,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
