id,name,slug,location,category,instagram
188,BUDHUB,budhub,CA,"Flower,",NA
189,Bullet Concentrates,bullet-concentrates,CA,"Concentrates, Vape Pens, Batteries,",NA
190,Burn Extracts,burn-extracts,CA,"Concentrates, Vape Pens,",NA
191,Butter Baby!,butter-baby,CA,"Edibles,",NA
192,ButterBrand,butterbrand,CA,NA,NA
193,BuudaBomb (CANADA),buudabomb-canada,CA,NA,NA
194,Buzzd Flowers & Concentrates,buzzd-flowers-concentrates,CA,"Flower, Concentrates,",NA
195,BZS Resource,bzs-resource,CA,NA,NA
196,C/MDâ„¢ skincare,c-md-skincare,CA,NA,NA
197,C3 Global Biosciences,c3-global-biosciences,CA,"Medical,",NA
198,Cake Extracts,cake-extracts,CA,"Flower, Concentrates, Medical,",NA
199,Cakes,cakes,CA,"Concentrates, Edibles, Medical,",NA
200,Cali Bush Master,cali-bush-master,CA,NA,NA
201,Cali Dreams Candy Company,cali-dreams-candy-company,CA,NA,NA
202,Cali Kush Farms,cali-kush-farms,Ca,NA,NA
203,Cali Love,cali-love,Ca,"Medical,",NA
204,Cali-Oil Gold,cali-oil-gold,CA,"Flower, Vape Pens, Edibles, Batteries,",NA
205,Califlower,califlower,CA,"Flower, Concentrates, Vape Pens, Edibles,",NA
206,California Alchemy,california-alchemy,CA,"Flower, Concentrates,",NA
207,California Dab Company,california-dab-company,CA,NA,NA
208,California Finest,california-finest,CA,"Flower,",NA
209,California Gold Concentrates,california-gold-concentrates,CA,"Concentrates,",NA
210,California Gold Rush Extracts,california-gold-rush-extracts,CA,"Concentrates, Budder,",NA
211,California Unified,california-unified,CA,"Flower, Concentrates, Vape Pens,",NA
212,California Veganix,california-veganix,CA,"Flower,",NA
213,CALIGOLD,caligold,CALIFORNIA,"Edibles,",NA
214,Caliva,caliva,CA,NA,NA
215,Calvin N Globz,calvin-n-globz,CA,"Concentrates,",NA
216,Calyx Garden,calyx-garden,CA,"Flower, Concentrates,",NA
217,Campfire Collective,campfire-collective,CA,"Edibles,",NA
218,Canada Concentrates (CANADA),canada-concentrates-canada,ON,"Concentrates,",NA
219,Canafused Flower & Extractions,canafused-flower-extractions,ON,"Flower,",NA
220,Canamo Concentrates,canamo-concentrates,AZ,"Concentrates,",NA
221,Canapa Brands,canapa-brands,CA,"Concentrates, Edibles,",NA
222,Canapaio Mantovano (SPAIN),canapaio-mantovano-spain,CA,"Edibles,",NA
223,Cann Eye Dream Ice Cream,cann-eye-dream-ice-cream,CA,"Edibles,",NA
224,Canna Balanc3,canna-balanc3,CA,"Edibles,",NA
225,Canna Benefits,canna-benefits,CA,NA,NA
